;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
986,0.151,0.0173885
987,0.152,0.0173885
988,0.153,0.0173885
989,0.154,0.0173885
990,0.155,0.0173885
991,0.156,0.0173885
992,0.157,0.0173885
993,0.158,0.0173885
994,0.159,0.0173885
995,0.16,0.0173885
996,0.161,0.0173885
997,0.162,0.0173885
998,0.163,0.0173885
999,0.164,0.0173885
1000,0.165,0.0173885
1001,0.166,0.0173885
1002,0.167,0.0173885
1003,0.168,0.0173885
1004,0.169,0.0173885
1005,0.17,0.0173885
1006,0.171,0.0173885
1007,0.172,0.0173885
1008,0.173,0.0173885
1009,0.174,0.0173885
1010,0.175,0.0173885
1011,0.176,0.0173885
1012,0.177,0.0173885
1013,0.178,0.0173885
1014,0.179,0.0173885
1015,0.18,0.0173885
1016,0.181,0.0173885
1017,0.182,0.0173885
1018,0.183,0.0173885
1019,0.184,0.0173885
